airport,date,time,temperature,pressure_station,pressure_sea,humidity,wind_direction,wind_speed,visibility
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",05:00,-10,741.4,743.2,85,"Ветер, дующий с юго-востока",(6 м/с),1.3
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",04:30,-11,742.2,744.0,92,"Ветер, дующий с юго-востока",(6 м/с),1.2
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",04:00,-11,742.9,744.7,85,"Ветер, дующий с юго-востока",(8 м/с),2.2
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",03:30,-12,742.9,744.7,85,"Ветер, дующий с востоко-юго-востока",(8 м/с),3.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",03:00,-12,744.4,746.3,79,"Ветер, дующий с юго-востока",(7 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",02:30,-13,745.9,747.8,85,"Ветер, дующий с юго-востока",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",02:00,-13,746.6,748.5,85,"Ветер, дующий с востоко-юго-востока",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",01:30,-14,747.4,749.3,85,"Ветер, дующий с юго-востока",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",01:00,-14,747.4,749.3,78,"Ветер, дующий с юго-востока",(5 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",00:30,-16,748.2,750.1,85,"Ветер, дующий с востоко-юго-востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"2024г.19 января,пятница",00:00,-17,748.9,750.8,85,"Ветер, дующий с востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",23:30,-17,748.9,750.8,85,"Ветер, дующий с востоко-юго-востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",23:00,-18,749.7,751.6,84,"Ветер, дующий с востоко-юго-востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",22:30,-18,749.7,751.6,84,"Ветер, дующий с востоко-юго-востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",22:00,-20,750.4,752.3,84,"Ветер, дующий с юго-востока",(3 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",21:30,-20,750.4,752.3,84,"Ветер, дующий с юго-востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",21:00,-20,750.4,752.3,84,"Ветер, дующий с юго-востока",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",20:30,-19,751.2,753.1,84,"Ветер, дующий с юго-юго-востока",(3 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",20:00,-19,751.2,753.1,84,"Ветер, дующий с юго-юго-востока",(3 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",19:30,-19,751.2,753.1,84,"Ветер, дующий с юго-юго-востока",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",19:00,-20,751.2,753.1,84,"Ветер, дующий с юго-юго-востока",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",18:30,-21,752.0,753.9,84,Переменное направление,(1 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",18:00,-19,752.0,753.9,84,"Ветер, дующий с юга",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",17:30,-19,752.0,753.9,84,"Ветер, дующий с юга",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",17:00,-18,752.0,753.9,84,"Ветер, дующий с юго-юго-запада",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",16:30,-18,752.0,753.9,84,"Ветер, дующий с юго-юго-запада",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",16:00,-17,751.2,753.1,85,"Ветер, дующий с юго-юго-запада",(2 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",15:30,-17,751.2,753.1,85,"Ветер, дующий с юго-запада",(3 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",15:00,-17,751.2,753.1,85,"Ветер, дующий с юго-запада",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",14:30,-16,751.2,753.1,85,"Ветер, дующий с юго-запада",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",14:00,-16,751.2,753.1,85,"Ветер, дующий с западо-юго-запада",(4 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",13:30,-16,751.2,753.1,85,"Ветер, дующий с западо-юго-запада",(2 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",13:00,-15,751.2,753.1,78,"Ветер, дующий с западо-юго-запада",(3 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",12:30,-15,751.2,753.1,78,"Ветер, дующий с западо-юго-запада",(3 м/с),8.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",12:00,-15,750.4,752.3,85,"Ветер, дующий с западо-юго-запада",(4 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",11:30,-15,750.4,752.3,85,"Ветер, дующий с запада",(4 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",11:00,-14,749.7,751.6,78,"Ветер, дующий с запада",(4 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",10:30,-14,749.7,751.6,85,"Ветер, дующий с запада",(5 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",10:00,-14,748.9,750.8,85,"Ветер, дующий с запада",(5 м/с),6.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",09:30,-13,748.9,750.8,85,"Ветер, дующий с запада",(5 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",09:00,-13,748.2,750.1,85,"Ветер, дующий с запада",(6 м/с),10.0 и более
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",08:30,-12,748.2,750.1,85,"Ветер, дующий с запада",(6 м/с),4.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",08:00,-11,747.4,749.3,92,"Ветер, дующий с запада",(5 м/с),3.4
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",07:30,-11,747.4,749.3,92,"Ветер, дующий с запада",(4 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",07:00,-12,747.4,749.3,92,"Ветер, дующий с западо-северо-запада",(4 м/с),6.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",06:30,-13,746.6,748.5,85,"Ветер, дующий с западо-северо-запада",(3 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",06:00,-12,746.6,748.5,92,"Ветер, дующий с северо-запада",(4 м/с),9.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",05:30,-12,746.6,748.5,92,"Ветер, дующий с западо-северо-запада",(4 м/с),5.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",05:00,-12,745.9,747.8,92,"Ветер, дующий с запада",(3 м/с),6.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",04:30,-14,745.9,747.8,92,Переменное направление,(1 м/с),8.0
Архангельске / им. Ф. А. Абрамова (аэропорт),"18 января,четверг",04:00,-13,745.9,747.8,92,"Ветер, дующий с запада",(2 м/с),4.5
